imdbID,Title,Year,Rating10,Review,FirstWatched,LastWatched,Tags,SafeForParents,ForKids
tt0081505,The Shining,1980,9.0,"Simplesmente cinema. Stanley Kubrick tá de parabéns.

Esse filme leva seu tempo para construir o terreno, mas é tudo feito de maneira impecável. Você fica realmente se importando com os personagens e entende o que leva as coisas acontecerem daquele jeito. Tudo isso sem ser chato e lento como **2001 - Uma Odisseia no Espaço (1968)**, que apesar de ser um grande filme não deixa ser cansativo em alguns momentos.

E tudo perfeito. O cenário, o modo que as filmagens são feitas, a trilha sonora, as atuações. Tudo ajuda a contar a história e contribui para imersão.",2024-09-14,2024-09-14,,False,False
tt5606664,Doctor Sleep,2019,8.2,"é MUITO BOM VÉI! Imagina o desafio de fazer uma sequência pra O Iluminado. O filme do Stanley Kubrick. Mesmo assim aqui o diretor foi muito bem.

Primeiro que atualizou o filme pra um ritmo moderno. Sem takes longos. Esse filme me entreteve bem mais que o outro. Não vou cometer o crime de dizer que ele é melhor que o anterior, tenham calma. Mas é sim bem mais palatável para audiências modernas (gente não cult) e posso recomendar com menos medo.

Só pra eu não ficar aqui só falando bem, uma coisa que me incomodou um pouco nesse filme é que ele é mais literal que o outro. Ele explica as coisas melhor, inclusive coisas do filme anterior. Isso é bom, até me ajudou a entender melhor o Iluminado. Mas, ao mesmo tempo, tira um pouco do mistério, da dúvida. Às vezes é bom deixar as coisas nas entrelinhas.

Esse filme tbm tira um pouco do ar mistico, então medo mesmo eu senti menos nesse filme. Tipo, se antes os poderes eram algo inexplicável, mistico, tipo o garotinho do **O Sexto Sentido (1999)**, aqui tá mais pra uns X-men.

Mas pô. A ideia toda dessa saga é muito boa todo o conceito é muito interessante. Acho que de terror, não consigo lembrar aqui algum filme que eu tenha assistido melhor que esses dois.",2024,2024,,False,False
tt14961016,Ainda Estou Aqui,2024,8.3,"Que filme, que atuação, que qualidade.

Eu entendo quem não gostou do filme pq ele é propaganda esquerdista e bem parcial. Não mostra o outro lado sobre os terroristas da época, terroristas estes que se tivessem ganhado fariam uma ditadura mil vezes pior. E tbm não deixa de ser hipócrita visto que as pessoas que fizeram o filme defendem a ditadura do STF que vivemos hoje e gritam ""sem anistia"".

Mas o filme não se propõe a isso. Ele conta brilhantemente a visão da Eunice Paiva ao perder o marido, e dos filhos de perder o pai. Ele é parcial e precisa ser parcial.

E tá, filme nacional com crítica social já saturou, mas aqui foi tão bem feito, e não deixa de ser importante relembrar que a ditadura foi um período sombrio da história do Brasil.

Tbm preciso elogiar o quão bem o filme recriou o Rio de Janeiro de antigamente. Os carros as roupas tudo.",2025,2025,,False,False
tt0762107,I Now Pronounce You Chuck & Larry,2007,6.5,"Eu já tô acostumado com o Adam Sandler no final de todos os filmes ficando com a mulher gostosa. Mas em Eu os Declaro Marido e… Larry (2007) o filme olha para minha cara e jura que ele é o grande pegador aponto das mulheres comprarem um CALENDÁRIO com a foto dele. Aí faltou timidez, faltou autorreconhecimento da parte dele né.

Mas tirando isso é um bom filme do Adam Sandler. Ele tbm levanta uma pauta social importante de uma forma inteligente, então ficou legal.",2025,2025,,False,False
tt8999762,The Brutalist,2024,6.0,"É um filme Brutalista mesmo. É um filme bastante longo, com 3 horas e 20 minutos de duração. E que na minha opinião, não foram necessários. Eu entendo, brutalismo tem que ser algo grande. Mas o filme não tinha tanta história assim pra 3 horas.

Agora se **Eu os Declaro Marido e… Larry (2007)** quer me convencer que o Adam Sandler é bonito, esse aqui tenta me convencer que brutalismo é bonito. O personagem principal constrói um prédio todo mundo bate palma, ai vc vai ver o prédio é horroroso.

Eu terminei o filme com a sensação de que não peguei o filme todo. Que é um filme pra ver mais de uma vez. Entretanto, 3h de duração não vou ver não desculpe.",2025,2025,,False,False
tt1609486,Harold and the Purple Crayon,2024,5.5,É um bom filme infantil. Cumpre o que promete.,2025,2025,,True,True
tt0172495,Gladiator,2000,9.2,"É realmente um clássico do cinema. Trilha sonora espetacular, muita ação de qualidade, efeitos especiais incríveis e uma história genuinamente boa. É disso que o cinema precisa. Se eu tenho algo pra falar mal é que durante as batalhas o diretor exagerou nos cortes rápidos e as cenas ficaram confusas, mas tbm não é o fim do mundo. Máximus Décimus pra mim já tá nos top melhores protagonistas de todos os tempos.",2025,2025,,True,False
tt9218128,Gladiator II,2024,7.8,"O primeiro foi tão bom que eu já fui ver esse aqui com um pé atrás. 24 anos depois querer fazer uma continuação de um filme que simplesmente não precisava. Mas Gladiador 2 não é ruim não. Me entreteve é divertido. Não é tão bom quanto o primeiro filme, mas valeria de boa uma ida ao cinema.

Tudo aqui tá mais grandioso, o que é natural, por agora temos mais tecnologia. Mas, ao mesmo tempo, as motivações, a história, os personagens não estão tão bem construídos, fechadinhos… Isso me incomodou mas as outras coisas fazem o filme valer a pena. Outra coisa que não gostei foi uns macacos deformados que aparecem, meio macaco meio cachorro ficou um CGI bem ruim e tirou minha imersão um pouco, ainda bem que depois passou não teve mais.",2025,2025,,True,False
tt28607951,Anora,2024,8.0,"É divertidíssimo. O começo eu fiquei tipo, mas gente é filme pornô isso aqui é? aí depois tem a melhor sequência de eventos possível e o final bem blé. Montanha-russa de emoções (nossa fiz uma piada sem querer aqui).

A atriz principal aqui tá ótima. Ainda acho que a Fernanda Torres deveria ter ganho o Oscar de melhor atriz, mas a Mikey não fez feio não.

Já o ator que faz o twink lá me convenceu totalmente que ele é um adolescente crianção irresponsável, se eu ver na rua chuto quero nem saber.",2025,2025,,False,False
tt10621032,Lupin III: The First,2019,8.0,"Que filme divertido! Trilha sonora impecável, animação muito bem feita com um estilo anime só que 3D. Não pensa muito, só vai na onda do filme e se divirta. Pode colocar a família toda pra assistir tbm.

Uma pena que tenha só um filme pq assistiria de boas uma continuação.",2025-06-13,2025-06-13,,True,True
